width,dataset,codec,rows,block_size,chunks,encoded_bytes,ratio,encode_ms,decode_ms,gather_uniform_ms,gather_uniform_chunks,gather_uniform_rows,gather_clustered_ms,gather_clustered_chunks,gather_clustered_rows,point_ms,point_count,plan
32,increasing,AUTO_WITH_SIS,1048576,4096,256,1026864,4.08458,8429.33,2.67084,2.11489,256,4096,1.62541,118,11089,2.42205,256,"SUB_INT_SPLIT[0-5;6-10;11-31]  -> ([0-5] section) BP  -> ([6-10] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([11-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP"
32,increasing,SIS_HALVES,1048576,4096,256,2015984,2.08052,500.819,1.67319,1.10523,256,4096,0.785452,118,11089,1.32179,256,"SUB_INT_SPLIT[0-15;16-31]  -> ([0-15] section) BP  -> ([16-31] section) ONE_VALUE"
32,increasing,SIS_PLANNED,1048576,4096,256,1026864,4.08458,6728.02,2.92624,2.19765,256,4096,1.28715,118,11089,2.16116,256,"SUB_INT_SPLIT[0-5;6-10;11-31]  -> ([0-5] section) BP  -> ([6-10] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([11-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP"
64,snowflake,RAW64,1048576,4096,256,8388608,1,1.32433,1.42217,0.017544,256,4096,0.029309,118,11089,0.001258,256,"RAW64"
64,snowflake,SIS64_HALVES,1048576,4096,256,4085248,2.05339,542.451,3.02934,1.27878,256,4096,0.680978,118,11089,0.895212,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) BP  -> ([32-63] section) ONE_VALUE"
64,snowflake,SIS64_PLANNED,1048576,4096,256,1211392,6.92477,16666.3,4.35177,1.9283,256,4096,1.03145,118,11089,1.98411,256,"SUB_INT_SPLIT_64[0-3;4-9;10-22;23-31;32-63]  -> ([0-3] section) BP  -> ([4-9] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([10-22] section) BP  -> ([23-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) UNCOMPRESSED  -> ([32-63] section) ONE_VALUE"
64,uniform,RAW64,1048576,4096,256,8388608,1,1.10235,1.28226,0.017436,256,4096,0.02775,118,11089,0.001169,256,"RAW64"
64,uniform,SIS64_HALVES,1048576,4096,256,8393728,0.99939,1172.91,1.74812,0.554132,256,4096,0.240219,118,11089,0.356571,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) UNCOMPRESSED  -> ([32-63] section) UNCOMPRESSED"
64,uniform,SIS64_PLANNED,1048576,4096,256,8393728,0.99939,33616.5,3.96291,1.08683,256,4096,0.574556,118,11089,0.82005,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) UNCOMPRESSED  -> ([32-63] section) UNCOMPRESSED"
64,increasing,RAW64,1048576,4096,256,8388608,1,2.29037,2.47351,0.028679,256,4096,0.056395,118,11089,0.002366,256,"RAW64"
64,increasing,SIS64_HALVES,1048576,4096,256,2935960,2.85719,348.804,4.57492,1.70622,256,4096,0.626885,118,11089,1.52158,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) BP  -> ([32-63] section) ONE_VALUE"
64,increasing,SIS64_PLANNED,1048576,4096,256,1026864,8.16915,23349.4,7.22695,2.93842,256,4096,1.38135,118,11089,2.31361,256,"SUB_INT_SPLIT_64[0-5;6-10;11-31;32-63]  -> ([0-5] section) BP  -> ([6-10] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([11-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([32-63] section) ONE_VALUE"
64,tweet_ids,RAW64,1048576,4096,256,8388608,1,2.8495,2.95803,0.029776,256,4096,0.048185,118,11089,0.00207,256,"RAW64"
64,tweet_ids,SIS64_HALVES,1048576,4096,256,7709640,1.08807,1523.32,4.96956,2.55501,256,4096,1.19708,118,11089,2.21369,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) UNCOMPRESSED  -> ([32-63] section) BP"
64,tweet_ids,SIS64_PLANNED,1048576,4096,256,5358698,1.56542,36180,10.1925,6.39613,256,4096,3.2926,118,11089,4.94158,256,"SUB_INT_SPLIT_64[0-3;4-11;12-16;17-21;22-48;49-53;54-63]  -> ([0-3] section) BP  -> ([4-11] section) BP  -> ([12-16] section) DICT -> ([int] codes) BP  -> ([17-21] section) DICT -> ([int] codes) BP  -> ([22-48] section) BP  -> ([49-53] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([54-63] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP"
32,snowflake,UNCOMPRESSED,1048576,8192,128,4195840,0.999634,444.478,0.794987,0.416355,128,4096,0.635537,91,11089,0.767158,256,"UNCOMPRESSED"
32,snowflake,BP,1048576,8192,128,3774784,1.11114,448.777,2.38118,1.77575,128,4096,1.24427,91,11089,2.66565,256,"BP"
32,snowflake,PFOR,1048576,8192,128,3753792,1.11735,408.462,1.48906,1.55503,128,4096,1.09882,91,11089,2.03765,256,"PFOR"
32,snowflake,DICT,1048576,8192,128,4195840,0.999634,909.654,0.77617,0.281088,128,4096,0.334243,91,11089,0.30549,256,"UNCOMPRESSED"
32,snowflake,RLE,1048576,8192,128,3781696,1.10911,941.398,5.32776,4.50773,128,4096,4.1434,91,11089,9.08444,256,"RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,AUTO_BASELINE,1048576,8192,128,3774784,1.11114,498.167,1.84567,1.39807,128,4096,1.08345,91,11089,2.53446,256,"BP"
32,snowflake,AUTO_WITH_SIS,1048576,8192,128,1020820,4.10876,5868.83,3.90449,1.87596,128,4096,1.82807,91,11089,3.90699,256,"SUB_INT_SPLIT[0-10;11-15;16-31]  -> ([0-10] section) BP  -> ([11-15] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([16-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,SIS_HALVES,1048576,8192,128,2025216,2.07104,1180.39,2.43827,1.2349,128,4096,1.04346,91,11089,2.37033,256,"SUB_INT_SPLIT[0-15;16-31]  -> ([0-15] section) BP  -> ([16-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,SIS_PLANNED,1048576,8192,128,1020820,4.10876,5282.15,4.28848,1.70193,128,4096,1.42438,91,11089,3.34384,256,"SUB_INT_SPLIT[0-10;11-15;16-31]  -> ([0-10] section) BP  -> ([11-15] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([16-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,uniform,UNCOMPRESSED,1048576,8192,128,4195840,0.999634,570.504,0.731108,0.262844,128,4096,0.320686,91,11089,0.281053,256,"UNCOMPRESSED"
32,uniform,BP,1048576,8192,128,4195840,0.999634,718.214,0.953318,0.329644,128,4096,0.401414,91,11089,0.338169,256,"UNCOMPRESSED"
32,uniform,PFOR,1048576,8192,128,4195840,0.999634,692.839,1.03905,0.403702,128,4096,0.470692,91,11089,0.368402,256,"UNCOMPRESSED"
32,uniform,DICT,1048576,8192,128,4195840,0.999634,1793.22,0.920745,0.307651,128,4096,0.397931,91,11089,0.392614,256,"UNCOMPRESSED"
32,uniform,RLE,1048576,8192,128,4195840,0.999634,1339.61,1.30619,0.334815,128,4096,0.476553,91,11089,0.458244,256,"UNCOMPRESSED"
32,uniform,AUTO_BASELINE,1048576,8192,128,4195840,0.999634,765.435,1.04499,0.292233,128,4096,0.379082,91,11089,0.35064,256,"UNCOMPRESSED"
32,uniform,AUTO_WITH_SIS,1048576,8192,128,4195840,0.999634,2426.52,0.835732,0.366835,128,4096,0.523754,91,11089,0.416744,256,"UNCOMPRESSED"
32,uniform,SIS_HALVES,1048576,8192,128,4195840,0.999634,2380.14,1.2355,0.339046,128,4096,0.479224,91,11089,0.451036,256,"UNCOMPRESSED"
32,uniform,SIS_PLANNED,1048576,8192,128,4195840,0.999634,5990.79,0.833578,0.311538,128,4096,0.470063,91,11089,0.483005,256,"UNCOMPRESSED"
32,increasing,UNCOMPRESSED,1048576,8192,128,4195840,0.999634,198.848,1.05253,0.278135,128,4096,0.365176,91,11089,0.311215,256,"UNCOMPRESSED"
32,increasing,BP,1048576,8192,128,2929816,1.43159,214.906,1.51935,1.32539,128,4096,1.06572,91,11089,3.08782,256,"BP"
32,increasing,PFOR,1048576,8192,128,2908864,1.4419,224.248,1.47676,1.58909,128,4096,1.05396,91,11089,2.51445,256,"PFOR"
32,increasing,DICT,1048576,8192,128,4195840,0.999634,551.352,0.780201,0.287577,128,4096,0.371347,91,11089,0.364039,256,"UNCOMPRESSED"
32,increasing,RLE,1048576,8192,128,2936728,1.42822,478.86,5.41972,4.57417,128,4096,3.3198,91,11089,9.40029,256,"RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,increasing,AUTO_BASELINE,1048576,8192,128,2929816,1.43159,258.166,1.58685,1.69095,128,4096,1.13932,91,11089,2.71514,256,"BP"
32,increasing,AUTO_WITH_SIS,1048576,8192,128,1008040,4.16085,5272.28,3.72483,1.97919,128,4096,1.91025,91,11089,3.93716,256,"SUB_INT_SPLIT[0-5;6-11;12-31]  -> ([0-5] section) BP  -> ([6-11] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([12-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP"
32,increasing,SIS_HALVES,1048576,8192,128,2009840,2.08688,626.76,2.2723,1.65764,128,4096,1.06705,91,11089,2.70563,256,"SUB_INT_SPLIT[0-15;16-31]  -> ([0-15] section) BP  -> ([16-31] section) ONE_VALUE"
32,increasing,SIS_PLANNED,1048576,8192,128,1008040,4.16085,3813.06,2.85468,1.52041,128,4096,1.22162,91,11089,2.77964,256,"SUB_INT_SPLIT[0-5;6-11;12-31]  -> ([0-5] section) BP  -> ([6-11] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([12-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP"
64,snowflake,RAW64,1048576,8192,128,8388608,1,1.40439,1.51797,0.023971,128,4096,0.040344,91,11089,0.00164,256,"RAW64"
64,snowflake,SIS64_HALVES,1048576,8192,128,4081408,2.05532,607.035,4.35054,1.17672,128,4096,1.00923,91,11089,1.98856,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) BP  -> ([32-63] section) ONE_VALUE"
64,snowflake,SIS64_PLANNED,1048576,8192,128,1189120,7.05447,11257.2,5.82631,2.66461,128,4096,1.74682,91,11089,4.54856,256,"SUB_INT_SPLIT_64[0-3;4-9;10-22;23-31;32-63]  -> ([0-3] section) BP  -> ([4-9] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([10-22] section) BP  -> ([23-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([32-63] section) ONE_VALUE"
64,uniform,RAW64,1048576,8192,128,8388608,1,3.08425,2.04852,0.017287,128,4096,0.040584,91,11089,0.002066,256,"RAW64"
64,uniform,SIS64_HALVES,1048576,8192,128,8391168,0.999695,1497.13,3.54692,0.967307,128,4096,0.684192,91,11089,1.29888,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) UNCOMPRESSED  -> ([32-63] section) UNCOMPRESSED"
64,uniform,SIS64_PLANNED,1048576,8192,128,8391168,0.999695,21422,1.96426,0.569182,128,4096,0.399469,91,11089,0.935528,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) UNCOMPRESSED  -> ([32-63] section) UNCOMPRESSED"
